kode,symbol,date,price
NTT,AMZN,2015,253712
PAPBAR,AMZN,2000,28763
PAPBAR,AMZN,2005,29106
PAPBAR,AMZN,2010,48955
PAPBAR,AMZN,2015,51759
PAPUA,AMZN,1971,6449
PAPUA,AMZN,1980,15559
PAPUA,AMZN,1985,25495
PAPUA,AMZN,1990,30786
PAPUA,AMZN,1995,47356
PAPUA,AMZN,2000,43586
PAPUA,AMZN,2005,49668
PAPUA,AMZN,2010,87545
PAPUA,AMZN,2015,89261
RIAU,AMZN,1971,41636
RIAU,AMZN,1980,86540
RIAU,AMZN,1985,93745
RIAU,AMZN,1990,127672
RIAU,AMZN,1995,169941
RIAU,AMZN,2000,180778
RIAU,AMZN,2005,208049
RIAU,AMZN,2010,314303
RIAU,AMZN,2015,319558
SULBARAT,AMZN,2000,73360
SULBARAT,AMZN,2005,86027
SULBARAT,AMZN,2010,89607
SULBARAT,AMZN,2015,108643
SULSEL,AMZN,1971,241726
SULSEL,AMZN,1980,511725
SULSEL,AMZN,1985,541446
SULSEL,AMZN,1990,641961
SULSEL,AMZN,1995,792342
SULSEL,AMZN,2000,897616
SULSEL,AMZN,2005,1027275
SULSEL,AMZN,2010,1409614
SULSEL,AMZN,2015,1415688
SULTENG,AMZN,1971,34274
SULTENG,AMZN,1980,33912
SULTENG,AMZN,1985,31513
SULTENG,AMZN,1990,48360
SULTENG,AMZN,1995,47793
SULTENG,AMZN,2000,74463
SULTENG,AMZN,2005,75776
SULTENG,AMZN,2010,122195
SULTENG,AMZN,2015,121928
SULTENGG,AMZN,1971,30771
SULTENGG,AMZN,1980,89957
SULTENGG,AMZN,1985,68628
SULTENGG,AMZN,1990,107673
SULTENGG,AMZN,1995,125403
SULTENGG,AMZN,2000,95189
SULTENGG,AMZN,2005,122593
SULTENGG,AMZN,2010,177075
SULTENGG,AMZN,2015,191917
SULUT,AMZN,1971,60837
SULUT,AMZN,1980,121231
SULUT,AMZN,1985,150142
SULUT,AMZN,1990,153466
SULUT,AMZN,1995,218240
SULUT,AMZN,2000,151326
SULUT,AMZN,2005,166157
SULUT,AMZN,2010,217774
SULUT,AMZN,2015,195544
SUMBAR,AMZN,1971,324897
SUMBAR,AMZN,1980,558804
SUMBAR,AMZN,1985,559636
SUMBAR,AMZN,1990,642908
SUMBAR,AMZN,1995,837493
SUMBAR,AMZN,2000,937799
SUMBAR,AMZN,2005,921180
SUMBAR,AMZN,2010,1151433
SUMBAR,AMZN,2015,1148930
SUMSEL,AMZN,1971,199060
SUMSEL,AMZN,1980,333024
SUMSEL,AMZN,1985,368622
SUMSEL,AMZN,1990,443384
SUMSEL,AMZN,1995,580077
SUMSEL,AMZN,2000,525954
SUMSEL,AMZN,2005,573865
SUMSEL,AMZN,2010,779239
SUMSEL,AMZN,2015,737585
SUMUT,AMZN,1971,188326
SUMUT,AMZN,1980,417659
SUMUT,AMZN,1985,562885
SUMUT,AMZN,1990,770093
SUMUT,AMZN,1995,1025451
SUMUT,AMZN,2000,1336772
SUMUT,AMZN,2005,1314117
SUMUT,AMZN,2010,2298140
SUMUT,AMZN,2015,2207072
YOGYA,AMZN,1971,266933
YOGYA,AMZN,1980,253447
YOGYA,AMZN,1985,656190
YOGYA,AMZN,1990,508215
YOGYA,AMZN,1995,861679
YOGYA,AMZN,2000,784154
YOGYA,AMZN,2005,814289
YOGYA,AMZN,2010,901539
YOGYA,AMZN,2015,912407
ACEH,MSFT,1971,61906
ACEH,MSFT,1980,146307
ACEH,MSFT,1985,159495
ACEH,MSFT,1990,194709
ACEH,MSFT,1995,228641
ACEH,MSFT,2000,100166
ACEH,MSFT,2005,100166
ACEH,MSFT,2010,213553
ACEH,MSFT,2015,209815
BABEL,MSFT,2000,94334
BABEL,MSFT,2005,95129
BABEL,MSFT,2010,206705
BABEL,MSFT,2015,192729
BALI,MSFT,1971,22758
BALI,MSFT,1980,65271
BALI,MSFT,1985,53897
BALI,MSFT,1990,124919
BALI,MSFT,1995,157902
BALI,MSFT,2000,221722
BALI,MSFT,2005,249951
BALI,MSFT,2010,406921
BALI,MSFT,2015,428511
BANTEN,MSFT,2000,1758408
BANTEN,MSFT,2005,1731081
BANTEN,MSFT,2010,2766750
BANTEN,MSFT,2015,2491589
BENGKULU,MSFT,1971,36380
BENGKULU,MSFT,1980,122785
BENGKULU,MSFT,1985,120106
BENGKULU,MSFT,1990,251621
BENGKULU,MSFT,1995,332080
BENGKULU,MSFT,2000,355048
BENGKULU,MSFT,2005,311326
BENGKULU,MSFT,2010,347651
BENGKULU,MSFT,2015,337041
GORONTALO,MSFT,2000,26888
GORONTALO,MSFT,2005,39487
GORONTALO,MSFT,2010,64585
GORONTALO,MSFT,2015,64448
JABAR,MSFT,1971,383560
JABAR,MSFT,1980,1003758
JABAR,MSFT,1985,1367377
JABAR,MSFT,1990,2408626
JABAR,MSFT,1995,3615099
JABAR,MSFT,2000,3271882
JABAR,MSFT,2005,3764889
JABAR,MSFT,2010,5225271
JABAR,MSFT,2015,4961541
JAKARTA,MSFT,1971,1821833
JAKARTA,MSFT,1980,2599367
JAKARTA,MSFT,1985,3079693
JAKARTA,MSFT,1990,3170215
JAKARTA,MSFT,1995,3371384
JAKARTA,MSFT,2000,3541972
JAKARTA,MSFT,2005,3337161
JAKARTA,MSFT,2010,4077515
JAKARTA,MSFT,2015,3647328
JAMBI,MSFT,1971,160041
JAMBI,MSFT,1980,298366
