kode,symbol,date,price
SULUT,AMZN,1990,1711327
SULUT,AMZN,1995,1938071
SULUT,AMZN,2000,2218435
SULUT,AMZN,2010,2635009
SULUT,AMZN,2015,2876700
SUMBAR,AMZN,1971,2793196
SUMBAR,AMZN,1980,3406816
SUMBAR,AMZN,1990,4000207
SUMBAR,AMZN,1995,4323170
SUMBAR,AMZN,2000,4248931
SUMBAR,AMZN,2010,4846909
SUMBAR,AMZN,2015,5196300
SUMSEL,AMZN,1971,3440573
SUMSEL,AMZN,1980,4629801
SUMSEL,AMZN,1990,6313074
SUMSEL,AMZN,1995,7207545
SUMSEL,AMZN,2000,6899675
SUMSEL,AMZN,2010,7450394
SUMSEL,AMZN,2015,8052300
SUMUT,AMZN,1971,6621831
SUMUT,AMZN,1980,8360894
SUMUT,AMZN,1990,10256027
SUMUT,AMZN,1995,11114667
SUMUT,AMZN,2000,11649655
SUMUT,AMZN,2010,12982204
SUMUT,AMZN,2015,13937800
YOGYA,AMZN,1971,2489360
YOGYA,AMZN,1980,2750813
YOGYA,AMZN,1990,2913054
YOGYA,AMZN,1995,2916779
YOGYA,AMZN,2000,3122268
YOGYA,AMZN,2010,3457491
YOGYA,AMZN,2015,3679200
