id_tinggal;id_lahir;prov_tinggal;prov_lahir;Jumlah Migrasi
RIAU;SUMUT;Bengkulu;SumateraUtara;11758
RIAU;SUMBAR;Bengkulu;SumateraBarat;14022
RIAU;RIAU;Bengkulu;Riau;1022
RIAU;JAMBI;Bengkulu;Jambi;2927
RIAU;SUMSEL;Bengkulu;SumateraSelatan;37942
RIAU;BENGKULU;Bengkulu;Bengkulu;756774
RIAU;LAMPUNG;Bengkulu;Lampung;18228
RIAU;BABEL;Bengkulu;Kep.BangkaBelitung;496
RIAU;KEPRI;Bengkulu;KepulauanRiau;566
RIAU;JAKARTA;Bengkulu;DKIJakarta;3547
RIAU;JABAR;Bengkulu;JawaBarat;9530
RIAU;JATENG;Bengkulu;JawaTengah;33664
RIAU;YOGYA;Bengkulu;DIYogyakarta;5725
RIAU;JATIM;Bengkulu;JawaTimur;15693
RIAU;BANTEN;Bengkulu;Banten;1433
RIAU;BALI;Bengkulu;Bali;605
RIAU;NTB;Bengkulu;NusaTenggaraBarat; NA
RIAU;NTT;Bengkulu;NusaTenggaraTimur; NA
RIAU;KALBAR;Bengkulu;KalimantanBarat;305
RIAU;KALTENG;Bengkulu;KalimantanTengah;351
RIAU;KALSEL;Bengkulu;KalimantanSelatan; NA
RIAU;KALTIM;Bengkulu;KalimantanTimur;63
RIAU;KALUT;Bengkulu;KalimantanUtara;250
RIAU;SULUT;Bengkulu;SulawesiUtara;161
RIAU;SULTENG;Bengkulu;SulawesiTengah;54
RIAU;SULSEL;Bengkulu;SulawesiSelatan;396
RIAU;SULTENGG;Bengkulu;SulawesiTenggara; NA
RIAU;GORONTALO;Bengkulu;Gorontalo; NA
RIAU;SULBARAT;Bengkulu;SulawesiBarat; NA
RIAU;MALUKU;Bengkulu;Maluku;103
RIAU;MALUT;Bengkulu;MalukuUtara; NA
RIAU;PAPBAR;Bengkulu;PapuaBarat;119
RIAU;PAPUA;Bengkulu;Papua; NA
JAMBI;ACEH;DIYogyakarta;Aceh;2533
JAMBI;SUMUT;DIYogyakarta;SumateraUtara;4169
JAMBI;SUMBAR;DIYogyakarta;SumateraBarat;1688
JAMBI;RIAU;DIYogyakarta;Riau;3042
JAMBI;JAMBI;DIYogyakarta;Jambi;1895
JAMBI;SUMSEL;DIYogyakarta;SumateraSelatan;8579
JAMBI;BENGKULU;DIYogyakarta;Bengkulu;1288
JAMBI;LAMPUNG;DIYogyakarta;Lampung;6893
JAMBI;BABEL;DIYogyakarta;Kep.BangkaBelitung;1545
JAMBI;KEPRI;DIYogyakarta;KepulauanRiau;1748
JAMBI;JAKARTA;DIYogyakarta;DKIJakarta;20023
JAMBI;JABAR;DIYogyakarta;JawaBarat;24549
JAMBI;JATENG;DIYogyakarta;JawaTengah;149678
JAMBI;YOGYA;DIYogyakarta;DIYogyakarta;1557774
JAMBI;JATIM;DIYogyakarta;JawaTimur;36444
JAMBI;BANTEN;DIYogyakarta;Banten;4987
JAMBI;BALI;DIYogyakarta;Bali;1890
JAMBI;NTB;DIYogyakarta;NusaTenggaraBarat;1406
JAMBI;NTT;DIYogyakarta;NusaTenggaraTimur;2961
JAMBI;KALBAR;DIYogyakarta;KalimantanBarat;4392
JAMBI;KALTENG;DIYogyakarta;KalimantanTengah;837
JAMBI;KALSEL;DIYogyakarta;KalimantanSelatan;3785
JAMBI;KALTIM;DIYogyakarta;KalimantanTimur;3364
JAMBI;KALUT;DIYogyakarta;KalimantanUtara;584
JAMBI;SULUT;DIYogyakarta;SulawesiUtara;919
JAMBI;SULTENG;DIYogyakarta;SulawesiTengah;539
JAMBI;SULSEL;DIYogyakarta;SulawesiSelatan;2848
JAMBI;SULTENGG;DIYogyakarta;SulawesiTenggara;133
JAMBI;GORONTALO;DIYogyakarta;Gorontalo; NA
JAMBI;SULBARAT;DIYogyakarta;SulawesiBarat;426
JAMBI;MALUKU;DIYogyakarta;Maluku;673
JAMBI;MALUT;DIYogyakarta;MalukuUtara;987
JAMBI;PAPBAR;DIYogyakarta;PapuaBarat;1569
JAMBI;PAPUA;DIYogyakarta;Papua;1866
SUMSEL;ACEH;DKIJakarta;Aceh;9057
SUMSEL;SUMUT;DKIJakarta;SumateraUtara;110113
SUMSEL;SUMBAR;DKIJakarta;SumateraBarat;65877
SUMSEL;RIAU;DKIJakarta;Riau;8510
SUMSEL;JAMBI;DKIJakarta;Jambi;8622
SUMSEL;SUMSEL;DKIJakarta;SumateraSelatan;37253
SUMSEL;BENGKULU;DKIJakarta;Bengkulu;2185
SUMSEL;LAMPUNG;DKIJakarta;Lampung;44493
SUMSEL;BABEL;DKIJakarta;Kep.BangkaBelitung;19054
SUMSEL;KEPRI;DKIJakarta;KepulauanRiau;33133
SUMSEL;JAKARTA;DKIJakarta;DKIJakarta;185641
SUMSEL;JABAR;DKIJakarta;JawaBarat;408836
SUMSEL;JATENG;DKIJakarta;JawaTengah;695545
SUMSEL;YOGYA;DKIJakarta;DIYogyakarta;60800
SUMSEL;JATIM;DKIJakarta;JawaTimur;182428
SUMSEL;BANTEN;DKIJakarta;Banten;103922
SUMSEL;BALI;DKIJakarta;Bali;4794
