"","prov_tinggal","prov_lahir","Jumlah_Migrasi","lat_tinggal","long_tinggal","id_tinggal","lat_lahir","long_lahir","id_lahir"
"63","Jawa Tengah","Jawa Barat",215679,-7.150975,110.1402594,33,-7.090911,107.668887,32
"64","Jawa Tengah","DI Yogyakarta",154711,-7.150975,110.1402594,33,-7.8753849,110.4262088,34
"65","Jawa Tengah","Jawa Timur",257275,-7.150975,110.1402594,33,-7.5360639,112.2384017,35
"66","Jawa Tengah","Banten",40851,-7.150975,110.1402594,33,-6.4058172,106.0640179,36
"67","Jawa Tengah","Kalimantan Barat",10440,-7.150975,110.1402594,33,-0.2787808,111.4752851,61
"68","Jawa Tengah","Kalimantan Tengah",7489,-7.150975,110.1402594,33,-1.6814878,113.3823545,62
"69","Jawa Tengah","Kalimantan Selatan",9890,-7.150975,110.1402594,33,-3.0926415,115.2837585,63
"70","Jawa Tengah","Papua",5768,-7.150975,110.1402594,33,-4.269928,138.0803529,94
"71","Jawa Timur","DKI Jakarta",60690,-7.5360639,112.2384017,35,-6.211544,106.845172,31
"72","Jawa Timur","Jawa Barat",92783,-7.5360639,112.2384017,35,-7.090911,107.668887,32
"73","Jawa Timur","Jawa Tengah",361911,-7.5360639,112.2384017,35,-7.150975,110.1402594,33
"74","Jawa Timur","Bali",29203,-7.5360639,112.2384017,35,-8.4095178,115.188916,51
"75","Jawa Timur","Nusa Tenggara Barat",21300,-7.5360639,112.2384017,35,-8.6529334,117.3616476,52
"76","Jawa Timur","Nusa Tenggara Timur",23974,-7.5360639,112.2384017,35,-8.6573819,121.0793705,53
"77","Jawa Timur","Kalimantan Barat",14748,-7.5360639,112.2384017,35,-0.2787808,111.4752851,61
"78","Jawa Timur","Kalimantan Tengah",10529,-7.5360639,112.2384017,35,-1.6814878,113.3823545,62
"79","Jawa Timur","Kalimantan Selatan",19322,-7.5360639,112.2384017,35,-3.0926415,115.2837585,63
"80","Jawa Timur","Kalimantan Timur",29001,-7.5360639,112.2384017,35,0.5,116.5,64
"81","Jawa Timur","Kalimantan Utara",3153,-7.5360639,112.2384017,35,2.75,116,65
"82","Jawa Timur","Gorontalo",3571,-7.5360639,112.2384017,35,0.6999372,122.4467238,75
"83","Jawa Timur","Papua",9190,-7.5360639,112.2384017,35,-4.269928,138.0803529,94
"84","Kalimantan Selatan","Kalimantan Tengah",58939,-3.0926415,115.2837585,63,-1.6814878,113.3823545,62
"85","Kalimantan Selatan","Kalimantan Timur",19998,-3.0926415,115.2837585,63,0.5,116.5,64
"86","Kalimantan Selatan","Sulawesi Barat",5300,-3.0926415,115.2837585,63,-2.8441371,119.2320784,76
"87","Kalimantan Tengah","Kalimantan Selatan",128805,-1.6814878,113.3823545,62,-3.0926415,115.2837585,63
"88","Kalimantan Timur","Jawa Timur",365121,0.5,116.5,64,-7.5360639,112.2384017,35
"89","Kalimantan Timur","Nusa Tenggara Barat",24299,0.5,116.5,64,-8.6529334,117.3616476,52
"90","Kalimantan Timur","Nusa Tenggara Timur",21114,0.5,116.5,64,-8.6573819,121.0793705,53
"91","Kalimantan Timur","Kalimantan Tengah",9748,0.5,116.5,64,-1.6814878,113.3823545,62
"92","Kalimantan Timur","Kalimantan Selatan",96694,0.5,116.5,64,-3.0926415,115.2837585,63
"93","Kalimantan Timur","Kalimantan Utara",20683,0.5,116.5,64,2.75,116,65
"94","Kalimantan Timur","Sulawesi Tengah",12095,0.5,116.5,64,-1.4300254,121.4456179,72
"95","Kalimantan Timur","Sulawesi Selatan",259133,0.5,116.5,64,-3.6687994,119.9740534,73
"96","Kalimantan Timur","Sulawesi Tenggara",20307,0.5,116.5,64,-4.14491,122.174605,74
"97","Kalimantan Timur","Sulawesi Barat",23487,0.5,116.5,64,-2.8441371,119.2320784,76
"98","Kalimantan Utara","Kalimantan Timur",12279,2.75,116,65,0.5,116.5,64
"99","Kepulauan Riau","Aceh",14727,3.9456514,108.1428669,21,4.695135,96.7493993,11
"100","Kepulauan Riau","Sumatera Utara",216557,3.9456514,108.1428669,21,2.1153547,99.5450974,12
"101","Kepulauan Riau","Sumatera Barat",118580,3.9456514,108.1428669,21,-0.7399397,100.8000051,13
"102","Kepulauan Riau","Riau",84886,3.9456514,108.1428669,21,0.2933469,101.7068294,14
"103","Kepulauan Riau","Jambi",19694,3.9456514,108.1428669,21,-1.4851831,102.4380581,15
"104","Kepulauan Riau","Kep  Bangka Belitung",6423,3.9456514,108.1428669,21,-2.7410513,106.4405872,19
"105","Kepulauan Riau","Nusa Tenggara Timur",19812,3.9456514,108.1428669,21,-8.6573819,121.0793705,53
"106","Lampung","Sumatera Selatan",136081,-4.5585849,105.4068079,18,-3.3194374,103.914399,16
"107","Lampung","Bengkulu",9703,-4.5585849,105.4068079,18,-3.5778471,102.3463875,17
"108","Lampung","Jawa Barat",148902,-4.5585849,105.4068079,18,-7.090911,107.668887,32
"109","Lampung","Jawa Tengah",447307,-4.5585849,105.4068079,18,-7.150975,110.1402594,33
"110","Lampung","DI Yogyakarta",85108,-4.5585849,105.4068079,18,-7.8753849,110.4262088,34
"111","Lampung","Jawa Timur",346320,-4.5585849,105.4068079,18,-7.5360639,112.2384017,35
"112","Lampung","Banten",64287,-4.5585849,105.4068079,18,-6.4058172,106.0640179,36
"113","Lampung","Bali",21968,-4.5585849,105.4068079,18,-8.4095178,115.188916,51
"114","Maluku","Sulawesi Tenggara",31416,-3.2384616,130.1452734,81,-4.14491,122.174605,74
"115","Maluku","Maluku Utara",9249,-3.2384616,130.1452734,81,1.5709993,127.8087693,82
"116","Maluku","Papua Barat",2445,-3.2384616,130.1452734,81,-1.3361154,133.1747162,91
"117","Maluku Utara","Sulawesi Utara",16773,1.5709993,127.8087693,82,0.6246932,123.9750018,71
"118","Maluku Utara","Sulawesi Tenggara",20246,1.5709993,127.8087693,82,-4.14491,122.174605,74
"119","Maluku Utara","Maluku",14135,1.5709993,127.8087693,82,-3.2384616,130.1452734,81
"120","Nusa Tenggara Barat","Kep  Bangka Belitung",12370,-8.6529334,117.3616476,52,-2.7410513,106.4405872,19
"121","Nusa Tenggara Barat","Bali",22089,-8.6529334,117.3616476,52,-8.4095178,115.188916,51
"122","Papua","Sulawesi Utara",16861,-4.269928,138.0803529,94,0.6246932,123.9750018,71
"123","Papua","Sulawesi Selatan",138125,-4.269928,138.0803529,94,-3.6687994,119.9740534,73
"124","Papua","Maluku",40609,-4.269928,138.0803529,94,-3.2384616,130.1452734,81
"125","Papua","Maluku Utara",5890,-4.269928,138.0803529,94,1.5709993,127.8087693,82
"126","Papua","Papua Barat",25950,-4.269928,138.0803529,94,-1.3361154,133.1747162,91
"127","Papua Barat","Sulawesi Tenggara",19441,-1.3361154,133.1747162,91,-4.14491,122.174605,74
"128","Papua Barat","Maluku",48135,-1.3361154,133.1747162,91,-3.2384616,130.1452734,81
"129","Papua Barat","Maluku Utara",6822,-1.3361154,133.1747162,91,1.5709993,127.8087693,82
"130","Papua Barat","Papua",29720,-1.3361154,133.1747162,91,-4.269928,138.0803529,94
"131","Riau","Aceh",32890,0.2933469,101.7068294,14,4.695135,96.7493993,11
"132","Riau","Sumatera Utara",863790,0.2933469,101.7068294,14,2.1153547,99.5450974,12
"133","Riau","Sumatera Barat",338738,0.2933469,101.7068294,14,-0.7399397,100.8000051,13
"134","Riau","Jambi",26781,0.2933469,101.7068294,14,-1.4851831,102.4380581,15
"135","Riau","Kepulauan Riau",21728,0.2933469,101.7068294,14,3.9456514,108.1428669,21
"136","Sulawesi Barat","Sulawesi Tengah",10849,-2.8441371,119.2320784,76,-1.4300254,121.4456179,72
"137","Sulawesi Barat","Sulawesi Selatan",111927,-2.8441371,119.2320784,76,-3.6687994,119.9740534,73
"138","Sulawesi Selatan","Nusa Tenggara Timur",25459,-3.6687994,119.9740534,73,-8.6573819,121.0793705,53
"139","Sulawesi Selatan","Kalimantan Timur",14126,-3.6687994,119.9740534,73,0.5,116.5,64
"140","Sulawesi Selatan","Kalimantan Utara",4643,-3.6687994,119.9740534,73,2.75,116,65
"141","Sulawesi Selatan","Sulawesi Tengah",18745,-3.6687994,119.9740534,73,-1.4300254,121.4456179,72
"142","Sulawesi Selatan","Sulawesi Tenggara",31655,-3.6687994,119.9740534,73,-4.14491,122.174605,74
"143","Sulawesi Selatan","Gorontalo",2531,-3.6687994,119.9740534,73,0.6999372,122.4467238,75
"144","Sulawesi Selatan","Sulawesi Barat",35157,-3.6687994,119.9740534,73,-2.8441371,119.2320784,76
"145","Sulawesi Selatan","Papua Barat",3549,-3.6687994,119.9740534,73,-1.3361154,133.1747162,91
"146","Sulawesi Selatan","Papua",12132,-3.6687994,119.9740534,73,-4.269928,138.0803529,94
